code équipement;regroupement_1;regroupement_2;regroupement_3;libellé équipement;gamme;domaine_code;domaine_libellé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B205;B205;;;Produits surgelés;supérieure;B;Commerces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B206;B206;;;Poissonnerie;supérieure;B;Commerces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B308;B308;;;Magasin de revêtements murs et sols;supérieure;B;Commerces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B310;B310;;;Parfumerie, cosmétique;supérieure;B;Commerces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C402;C402;;;Formation santé;supérieure;C;Enseignement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C601;C601;;;Centre de formation d'apprentis (hors agriculture);supérieure;C;Enseignement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR03;C301;C304;;Lycée d'enseignement général et/ou technologique;supérieure;C;Enseignement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR04;C302;C305;;Lycée d'enseignement professionnel;supérieure;C;Enseignement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D101;D101;;;Établissement de santé de court séjour;supérieure;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D102;D102;;;Établissement de santé de moyen séjour;supérieure;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D103;D103;;;Établissement de santé de long séjour;supérieure;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D104;D104;;;Établissement psychiatrique;supérieure;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D106;D106;;;Urgences;supérieure;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D108;D108;;;Centre de santé;supérieure;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D109;D109;;;Structures psychiatriques en ambulatoire;supérieure;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D111;D111;;;Dialyse;supérieure;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D202;D202;;;Spécialiste en cardiologie;supérieure;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D203;D203;;;Spécialiste en dermatologie et vénéréologie;supérieure;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D206;D206;;;Spécialiste en gastro-entérologie, hépatologie;supérieure;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D207;D207;;;Spécialiste en psychiatrie;supérieure;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D208;D208;;;Spécialiste en ophtalmologie;supérieure;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D209;D209;;;Spécialiste en oto-rhino-laryngologie;supérieure;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D210;D210;;;Spécialiste en pédiatrie;supérieure;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D211;D211;;;Spécialiste en pneumologie;supérieure;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D212;D212;;;Spécialiste en  radiodiagnostic et imagerie médicale;supérieure;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D214;D214;;;Spécialiste en gynécologie ;supérieure;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D236;D236;;;Orthoptiste;supérieure;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D238;D238;;;Audio prothésiste;supérieure;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D240;D240;;;Psychomotricien;supérieure;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D242;D242;;;Diététicien;supérieure;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D402;D402;;;Personnes âgées : soins à domicile;supérieure;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D601;D601;;;Enfants handicapés : hébergement;supérieure;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D602;D602;;;Enfants handicapés : services à domicile ou ambulatoires;supérieure;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D603;D603;;;Adultes handicapés : accueil, hébergement;supérieure;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D604;D604;;;Adultes handicapés : services d'aide;supérieure;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D605;D605;;;Travail protégé;supérieure;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D606;D606;;;Adultes handicapés : services de soins à domicile;supérieure;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D701;D701;;;Protection de l’enfance hébergement;supérieure;D;Santé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ER01;E107;E108;E109;Gare;supérieure;E;Transports et déplacements;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F109;F109;;;Parcours sportif/santé;supérieure;F;Sports, loisirs et culture;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F303;F303;;;Cinéma;supérieure;F;Sports, loisirs et culture;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F312;F312;;;Exposition et médiation culturelle;supérieure;F;Sports, loisirs et culture;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F315;F315;;;Arts du spectacle;supérieure;F;Sports, loisirs et culture;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
