CODGEO,LIBGEO,PMUN21,DENS,NB_Établissement_sante_court_sejour,NB_Établissement_sante_moyen_sejour,NB_Établissement_sante_long_sejour,NB_Établissement_psychiatrique,NB_Centre_lutte_cancer,NB_Urgences,NB_Maternite,NB_Centre_de_sante,NB_Structures_psychiatriques_en_ambulatoire,NB_Centre_medecine_preventive,NB_Dialyse,NB_Hospitalisation_a_domicile,NB_Maison_de_sante_pluridisciplinaire,NB_Laboratoire_d'analyses_et_de_biologie_medicale,NB_Ambulance,NB_Transfusion_sanguine,NB_Établissement_thermal,NB_Pharmacie,NB_Établissement_sante_court_sejour_par_1000h,NB_Établissement_sante_moyen_sejour_par_1000h,NB_Établissement_sante_long_sejour_par_1000h,NB_Établissement_psychiatrique_par_1000h,NB_Centre_lutte_cancer_par_1000h,NB_Urgences_par_1000h,NB_Maternite_par_1000h,NB_Centre_de_sante_par_1000h,NB_Structures_psychiatriques_en_ambulatoire_par_1000h,NB_Centre_medecine_preventive_par_1000h,NB_Dialyse_par_1000h,NB_Hospitalisation_a_domicile_par_1000h,NB_Maison_de_sante_pluridisciplinaire_par_1000h,NB_Laboratoire_d'analyses_et_de_biologie_medicale_par_1000h,NB_Ambulance_par_1000h,NB_Transfusion_sanguine_par_1000h,NB_Établissement_thermal_par_1000h,NB_Pharmacie_par_1000h,NB_EQUIP_SANTE_TOTAL,NB_EQUIP_SANTE_PAR_1000H,ECART_EQUIP_SANTE,DIVERSITE_EQUIP_SANTE
33051,Biganos,11095,2,0,0,0,1,0,0,0,0,2,0,0,0,0,2,2,0,0,3,0.0,0.0,0.0,0.09013068949977468,0.0,0.0,0.0,0.0,0.18026137899954936,0.0,0.0,0.0,0.0,0.18026137899954936,0.18026137899954936,0.0,0.0,0.270392068499324,10,0.9013068949977467,3,5
33056,Blanquefort,16004,1,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,5,0.0,0.0,0.0,0.06248437890527369,0.0,0.0,0.0,0.0,0.18745313671582103,0.0,0.0,0.0,0.0,0.06248437890527369,0.0,0.0,0.0,0.3124218945263684,10,0.6248437890527369,5,4
33122,Cestas,16789,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6,0.0,0.05956280898207159,0.0,0.0,0.0,0.0,0.0,0.0,0.05956280898207159,0.0,0.0,0.0,0.0,0.05956280898207159,0.0,0.0,0.0,0.35737685389242957,9,0.5360652808386444,6,4
33167,Floirac,17749,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,0.056341202321257534,0.056341202321257534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056341202321257534,0.056341202321257534,0.0,0.0,0.3380472139275452,10,0.5634120232125753,6,5
33200,Le Haillan,11572,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08641548565502938,0.0,0.0,0.17283097131005876,0.0,0.0,0.0,0.25924645696508813,6,0.5184929139301763,3,3
33238,Léognan,10708,4,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0.0,0.09338812103100486,0.0,0.09338812103100486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09338812103100486,0.0,0.0,0.0,0.28016436309301457,6,0.5603287261860291,3,4
33284,Mios,11469,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08719155985700584,0.0,0.0,0.1743831197140117,3,0.2615746795710175,2,2
33312,Parempuyre,10142,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09859988168014198,0.0,0.0,0.0,0.19719976336028397,3,0.29579964504042594,2,2
33366,Saint-André-de-Cubzac,12854,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0.0,0.0,0.0,0.1555935895441108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0777967947720554,0.0,0.0,0.0,0.23339038431616618,6,0.46678076863233237,3,3
33433,Saint-Loubès,10005,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09995002498750626,0.0,0.0,0.0,0.1999000499750125,3,0.2998500749625187,2,2
